Date,ITC.NS,BAJFINANCE.NS
2009-01-02,58.166664123535156,6.310420036315918
2009-01-05,57.650001525878906,6.504735946655273
2009-01-06,58.133331298828125,6.660189151763916
2009-01-07,56.03333282470703,6.150108814239502
2009-01-09,56.54999923706055,6.048092842102051
2009-01-12,55.03333282470703,5.892640113830566
2009-01-13,56.233333587646484,5.805196762084961
2009-01-14,56.900001525878906,5.931502819061279
2009-01-15,56.166664123535156,5.800340175628662
2009-01-16,57.25,5.810054779052734
2009-01-19,56.883331298828125,5.824628829956055
2009-01-20,56.883331298828125,5.742044925689697
2009-01-21,57.08333206176758,5.71775484085083
2009-01-22,56.86666488647461,5.878066062927246
2009-01-23,56.79999923706055,5.737186908721924
2009-01-27,56.93333435058594,5.630312919616699
2009-01-28,58.54999923706055,5.727470874786377
2009-01-29,58.483333587646484,5.912071228027344
2009-01-30,60.03333282470703,5.7226128578186035
2009-02-02,59.400001525878906,5.591450214385986
2009-02-03,60.29999923706055,5.625454902648926
2009-02-04,60.29999923706055,5.586592197418213
2009-02-05,60.43333435058594,5.625454902648926
2009-02-06,60.849998474121094,5.455428123474121
2009-02-09,61.04999923706055,5.756618022918701
2009-02-10,60.11666488647461,5.513722896575928
2009-02-11,60.06666564941406,5.572018146514893
2009-02-12,59.43333435058594,5.601164817810059
2009-02-13,59.766666412353516,5.824628829956055
2009-02-16,60.383331298828125,5.596306800842285
2009-02-17,60.18333435058594,5.766334056854248
2009-02-18,60.016666412353516,5.65460205078125
2009-02-19,60.349998474121094,5.547728061676025
2009-02-20,60.06666564941406,5.5331549644470215
2009-02-24,60.20000076293945,5.538012981414795
2009-02-25,60.633331298828125,5.411706924438477
2009-02-26,61.349998474121094,5.35341215133667
2009-02-27,61.016666412353516,5.601164817810059
2009-03-02,59.650001525878906,5.3485541343688965
2009-03-03,57.349998474121094,5.1882429122924805
2009-03-04,57.900001525878906,5.081368923187256
2009-03-05,55.68333435058594,4.964779853820801
2009-03-06,54.849998474121094,4.945347785949707
2009-03-09,52.78333282470703,4.63444185256958
2009-03-12,53.95000076293945,4.867621898651123
2009-03-13,55.11666488647461,4.959921836853027
2009-03-16,56.70000076293945,4.959921836853027
2009-03-17,57.79999923706055,5.2999749183654785
2009-03-18,56.53333282470703,5.227107048034668
2009-03-19,56.58333206176758,5.567160129547119
2009-03-20,56.400001525878906,5.71775484085083
2009-03-23,58.133331298828125,6.864221096038818
2009-03-24,58.31666564941406,7.068253040313721
2009-03-25,59.25,7.29657506942749
2009-03-26,61.70000076293945,6.606751918792725
2009-03-27,62.099998474121094,6.907941818237305
2009-03-30,59.61666488647461,6.456157207489014
2009-03-31,61.61666488647461,6.786495208740234
2009-04-01,61.45000076293945,7.014815807342529
2009-04-02,61.766666412353516,7.447169780731201
2009-04-06,59.93333435058594,7.418022155761719
2009-04-08,63.28333282470703,7.923244953155518
2009-04-09,62.383331298828125,7.772648811340332
2009-04-13,62.33333206176758,7.83580207824707
2009-04-15,61.71666717529297,8.943405151367188
2009-04-16,63.900001525878906,8.438182830810547
2009-04-17,62.81666564941406,8.209860801696777
2009-04-20,61.56666564941406,8.20014476776123
2009-04-21,62.883331298828125,8.773378372192383
2009-04-22,63.5,8.836530685424805
2009-04-23,63.33333206176758,8.948263168334961
2009-04-24,63.516666412353516,9.04542064666748
2009-04-27,64.5,9.108573913574219
2009-04-28,62.516666412353516,9.021130561828613
2009-04-29,62.96666717529297,8.802526473999023
2009-04-30,62.900001525878906,8.792810440063477
2009-05-04,68.55000305175781,9.28345775604248
2009-05-05,65.93333435058594,9.453484535217285
2009-05-06,64.18333435058594,9.200874328613281
2009-05-07,63.483333587646484,9.293173789978027
2009-05-08,62.79999923706055,9.239736557006836
2009-05-11,62.650001525878906,8.865677833557129
2009-05-12,63.78333282470703,9.137721061706543
2009-05-13,62.68333435058594,8.812240600585938
2009-05-14,62.266666412353516,9.137721061706543
2009-05-15,62.016666412353516,9.069709777832031
2009-05-18,68.91666412353516,9.069709777832031
2009-05-19,63.483333587646484,10.886567115783691
2009-05-20,62.150001525878906,12.29535961151123
2009-05-21,60.71666717529297,12.39737606048584
2009-05-22,61.20000076293945,12.654845237731934
2009-05-25,63.266666412353516,12.475103378295898
2009-05-26,61.349998474121094,11.877579689025879
2009-05-27,61.36666488647461,12.290501594543457
2009-05-28,61.29999923706055,12.256497383117676
2009-05-29,61.21666717529297,13.475831031799316
2009-06-01,64.13333129882812,14.826329231262207
2009-06-02,64.06666564941406,16.312849044799805
2009-06-03,67.68333435058594,17.128976821899414
2009-06-04,67.53333282470703,16.978382110595703
2009-06-05,63.78333282470703,17.337867736816406
2009-06-08,61.20000076293945,17.15326690673828
2009-06-09,63.599998474121094,16.521738052368164
2009-06-10,65.0999984741211,16.060237884521484
2009-06-11,65.86666870117188,15.448141098022461
2009-06-12,65.55000305175781,15.020646095275879
2009-06-15,65.83333587646484,15.501578330993652
2009-06-16,66.23332977294922,15.593878746032715
2009-06-17,64.5999984741211,15.52586841583252
2009-06-18,64.44999694824219,15.550156593322754
2009-06-19,66.86666870117188,15.093514442443848
2009-06-22,67.73332977294922,15.2732572555542
2009-06-23,65.80000305175781,14.529996871948242
2009-06-24,66.25,15.103230476379395
2009-06-25,64.38333129882812,15.19552993774414
2009-06-26,65.56666564941406,15.292688369750977
2009-06-29,64.56666564941406,15.190671920776367
2009-06-30,63.58333206176758,14.879766464233398
2009-07-01,63.766666412353516,15.375272750854492
2009-07-02,63.900001525878906,15.0837984085083
2009-07-03,63.900001525878906,14.933202743530273
